1	\N
2	TBOXFLOAT XT([85.631867, 89.408875],[2001-09-07 00:20:00+02, 2001-09-07 00:26:00+02])
3	TBOXFLOAT XT([12.389908, 21.21822],[2001-02-24 03:17:00+01, 2001-02-24 03:20:00+01])
4	TBOXFLOAT XT([55.818904, 60.265423],[2001-03-29 21:56:00+02, 2001-03-29 21:57:00+02])
5	TBOXFLOAT XT([79.275665, 81.689828],[2001-09-02 13:03:00+02, 2001-09-02 13:07:00+02])
6	TBOXFLOAT XT([92.545195, 100.72904],[2001-08-15 21:36:00+02, 2001-08-15 21:39:00+02])
7	TBOXFLOAT XT([67.368656, 69.175583],[2001-06-20 17:44:00+02, 2001-06-20 17:49:00+02])
8	TBOXFLOAT XT([10.615298, 17.741793],[2001-01-12 05:38:00+01, 2001-01-12 05:42:00+01])
9	TBOXFLOAT XT([17.181903, 20.560596],[2001-08-05 16:08:00+02, 2001-08-05 16:09:00+02])
10	TBOXFLOAT XT([27.935847, 34.332422],[2001-07-28 12:27:00+02, 2001-07-28 12:31:00+02])
11	TBOXFLOAT XT([72.158409, 79.425272],[2001-06-20 20:57:00+02, 2001-06-20 21:00:00+02])
12	TBOXFLOAT XT([71.095418, 74.924125],[2001-01-29 20:27:00+01, 2001-01-29 20:32:00+01])
13	TBOXFLOAT XT([75.108888, 84.118542],[2001-06-21 14:24:00+02, 2001-06-21 14:31:00+02])
14	TBOXFLOAT XT([9.4781962, 19.135671],[2001-09-08 11:49:00+02, 2001-09-08 11:56:00+02])
15	TBOXFLOAT XT([15.72295, 18.972476],[2001-01-19 18:46:00+01, 2001-01-19 18:49:00+01])
16	TBOXFLOAT XT([8.246536, 15.074087],[2001-12-05 18:19:00+01, 2001-12-05 18:22:00+01])
17	TBOXFLOAT XT([52.592249, 56.134048],[2001-11-28 21:31:00+01, 2001-11-28 21:39:00+01])
18	TBOXFLOAT XT([48.466041, 51.342888],[2001-11-18 01:30:00+01, 2001-11-18 01:32:00+01])
19	TBOXFLOAT XT([35.147359, 40.521518],[2001-11-26 08:49:00+01, 2001-11-26 08:50:00+01])
20	TBOXFLOAT XT([98.412134, 104.50738],[2001-10-19 07:34:00+02, 2001-10-19 07:41:00+02])
21	TBOXFLOAT XT([27.17485, 31.88061],[2001-06-16 00:29:00+02, 2001-06-16 00:33:00+02])
22	TBOXFLOAT XT([14.426661, 16.641652],[2001-05-17 00:34:00+02, 2001-05-17 00:37:00+02])
23	TBOXFLOAT XT([42.529292, 48.6132],[2001-05-21 02:53:00+02, 2001-05-21 02:58:00+02])
24	TBOXFLOAT XT([31.561542, 39.419926],[2001-03-19 07:23:00+01, 2001-03-19 07:31:00+01])
25	TBOXFLOAT XT([12.418914, 19.240284],[2001-01-17 04:26:00+01, 2001-01-17 04:32:00+01])
26	TBOXFLOAT XT([92.650638, 100.98648],[2001-11-08 08:24:00+01, 2001-11-08 08:27:00+01])
27	TBOXFLOAT XT([76.021398, 80.085068],[2001-04-20 14:30:00+02, 2001-04-20 14:37:00+02])
28	TBOXFLOAT XT([10.143015, 15.458925],[2001-11-26 23:35:00+01, 2001-11-26 23:39:00+01])
29	TBOXFLOAT XT([36.264643, 43.922025],[2001-11-21 10:22:00+01, 2001-11-21 10:27:00+01])
30	TBOXFLOAT XT([26.498932, 34.774614],[2001-11-15 09:26:00+01, 2001-11-15 09:33:00+01])
31	TBOXFLOAT XT([25.965447, 28.747811],[2001-05-16 21:02:00+02, 2001-05-16 21:08:00+02])
32	TBOXFLOAT XT([58.567203, 63.318473],[2001-12-16 11:17:00+01, 2001-12-16 11:24:00+01])
33	TBOXFLOAT XT([0.45479806, 4.3231946],[2001-01-24 03:50:00+01, 2001-01-24 03:59:00+01])
34	TBOXFLOAT XT([91.8984, 94.779709],[2001-02-18 16:55:00+01, 2001-02-18 17:02:00+01])
35	TBOXFLOAT XT([43.491646, 48.303445],[2001-07-19 23:55:00+02, 2001-07-20 00:00:00+02])
36	TBOXFLOAT XT([45.59884, 54.784568],[2001-11-25 17:17:00+01, 2001-11-25 17:25:00+01])
37	TBOXFLOAT XT([79.437547, 83.367478],[2001-08-25 07:42:00+02, 2001-08-25 07:43:00+02])
38	TBOXFLOAT XT([52.394247, 60.141071],[2001-02-18 18:14:00+01, 2001-02-18 18:22:00+01])
39	TBOXFLOAT XT([50.724477, 54.954279],[2001-12-11 22:59:00+01, 2001-12-11 23:00:00+01])
40	TBOXFLOAT XT([90.777076, 99.002077],[2001-10-10 08:17:00+02, 2001-10-10 08:26:00+02])
41	TBOXFLOAT XT([83.930125, 92.520483],[2001-02-14 05:19:00+01, 2001-02-14 05:26:00+01])
42	TBOXFLOAT XT([25.529348, 30.466697],[2001-01-20 01:49:00+01, 2001-01-20 01:56:00+01])
43	TBOXFLOAT XT([60.184948, 63.223957],[2001-11-10 09:50:00+01, 2001-11-10 09:51:00+01])
44	TBOXFLOAT XT([76.409538, 85.297793],[2001-02-19 12:48:00+01, 2001-02-19 12:54:00+01])
45	TBOXFLOAT XT([78.531618, 85.092139],[2001-03-15 12:51:00+01, 2001-03-15 12:54:00+01])
46	TBOXFLOAT XT([33.597763, 35.433463],[2001-05-14 18:19:00+02, 2001-05-14 18:27:00+02])
47	TBOXFLOAT XT([31.517021, 40.942274],[2001-06-14 10:14:00+02, 2001-06-14 10:17:00+02])
48	TBOXFLOAT XT([22.739703, 24.95704],[2001-09-26 23:10:00+02, 2001-09-26 23:11:00+02])
49	TBOXFLOAT XT([86.040589, 94.465441],[2001-12-23 05:20:00+01, 2001-12-23 05:22:00+01])
50	TBOXFLOAT XT([3.1040219, 11.357206],[2001-04-06 12:54:00+02, 2001-04-06 13:00:00+02])
51	TBOXFLOAT XT([12.348329, 19.564877],[2001-01-12 19:37:00+01, 2001-01-12 19:45:00+01])
52	TBOXFLOAT XT([16.854765, 21.869211],[2001-07-26 11:03:00+02, 2001-07-26 11:12:00+02])
53	TBOXFLOAT XT([76.922091, 80.290193],[2001-01-24 06:06:00+01, 2001-01-24 06:07:00+01])
54	TBOXFLOAT XT([43.136782, 52.67257],[2001-05-10 13:49:00+02, 2001-05-10 13:56:00+02])
55	TBOXFLOAT XT([80.77005, 90.495361],[2001-11-18 23:31:00+01, 2001-11-18 23:32:00+01])
56	TBOXFLOAT XT([62.347734, 64.263896],[2001-02-08 02:59:00+01, 2001-02-08 03:04:00+01])
57	TBOXFLOAT XT([8.33715, 14.733393],[2001-12-04 08:20:00+01, 2001-12-04 08:22:00+01])
58	TBOXFLOAT XT([18.924609, 26.650321],[2001-05-28 14:22:00+02, 2001-05-28 14:25:00+02])
59	TBOXFLOAT XT([43.795775, 46.598548],[2001-06-09 10:37:00+02, 2001-06-09 10:43:00+02])
60	TBOXFLOAT XT([0.52293194, 6.5662551],[2001-08-24 06:34:00+02, 2001-08-24 06:41:00+02])
61	TBOXFLOAT XT([71.024272, 79.941111],[2001-10-27 18:01:00+02, 2001-10-27 18:03:00+02])
62	TBOXFLOAT XT([17.946979, 26.940317],[2001-10-29 10:01:00+01, 2001-10-29 10:10:00+01])
63	TBOXFLOAT XT([71.262986, 72.463396],[2001-11-09 04:14:00+01, 2001-11-09 04:18:00+01])
64	TBOXFLOAT XT([96.236626, 104.61654],[2001-02-15 03:49:00+01, 2001-02-15 03:50:00+01])
65	TBOXFLOAT XT([5.0842948, 7.5256401],[2001-06-02 17:23:00+02, 2001-06-02 17:26:00+02])
66	TBOXFLOAT XT([82.506493, 88.481859],[2001-11-27 07:29:00+01, 2001-11-27 07:32:00+01])
67	TBOXFLOAT XT([34.547991, 43.373744],[2001-10-02 03:18:00+02, 2001-10-02 03:22:00+02])
68	TBOXFLOAT XT([39.948401, 42.074836],[2001-06-06 11:34:00+02, 2001-06-06 11:35:00+02])
69	TBOXFLOAT XT([25.338904, 28.60094],[2001-01-02 18:00:00+01, 2001-01-02 18:04:00+01])
70	TBOXFLOAT XT([83.287793, 88.068055],[2001-02-20 18:32:00+01, 2001-02-20 18:37:00+01])
71	TBOXFLOAT XT([99.711339, 108.64587],[2001-06-10 23:54:00+02, 2001-06-11 00:03:00+02])
72	TBOXFLOAT XT([56.636056, 57.683013],[2001-09-13 09:13:00+02, 2001-09-13 09:19:00+02])
73	TBOXFLOAT XT([12.117843, 20.833476],[2001-03-02 04:38:00+01, 2001-03-02 04:47:00+01])
74	TBOXFLOAT XT([7.2817786, 10.165173],[2001-05-30 06:43:00+02, 2001-05-30 06:47:00+02])
75	TBOXFLOAT XT([16.32374, 24.244802],[2001-01-29 16:20:00+01, 2001-01-29 16:26:00+01])
76	TBOXFLOAT XT([50.869146, 57.921179],[2001-11-22 11:26:00+01, 2001-11-22 11:33:00+01])
77	TBOXFLOAT XT([89.89746, 92.651914],[2001-12-03 06:11:00+01, 2001-12-03 06:18:00+01])
78	TBOXFLOAT XT([6.3271243, 9.8233671],[2001-08-12 20:21:00+02, 2001-08-12 20:22:00+02])
79	TBOXFLOAT XT([5.7265414, 6.90532],[2001-02-27 20:48:00+01, 2001-02-27 20:54:00+01])
80	TBOXFLOAT XT([86.05807, 89.225535],[2001-01-10 03:06:00+01, 2001-01-10 03:15:00+01])
81	TBOXFLOAT XT([19.044858, 28.39688],[2001-02-05 17:11:00+01, 2001-02-05 17:14:00+01])
82	TBOXFLOAT XT([50.823298, 57.957375],[2001-02-19 23:10:00+01, 2001-02-19 23:17:00+01])
83	TBOXFLOAT XT([21.606267, 24.713993],[2001-06-14 00:11:00+02, 2001-06-14 00:18:00+02])
84	TBOXFLOAT XT([34.473736, 39.855248],[2001-11-27 00:24:00+01, 2001-11-27 00:27:00+01])
85	TBOXFLOAT XT([83.042534, 92.822615],[2001-09-06 03:58:00+02, 2001-09-06 04:07:00+02])
86	TBOXFLOAT XT([29.674245, 39.260976],[2001-04-03 01:33:00+02, 2001-04-03 01:37:00+02])
87	TBOXFLOAT XT([41.19001, 50.988715],[2001-12-21 12:23:00+01, 2001-12-21 12:26:00+01])
88	TBOXFLOAT XT([99.902719, 103.19088],[2001-03-21 12:29:00+01, 2001-03-21 12:31:00+01])
89	TBOXFLOAT XT([31.658536, 36.733215],[2001-03-08 08:04:00+01, 2001-03-08 08:12:00+01])
90	TBOXFLOAT XT([31.951095, 37.417694],[2001-02-18 21:17:00+01, 2001-02-18 21:22:00+01])
91	TBOXFLOAT XT([58.487718, 61.830668],[2001-09-23 21:28:00+02, 2001-09-23 21:37:00+02])
92	TBOXFLOAT XT([63.712044, 66.271982],[2001-09-29 23:12:00+02, 2001-09-29 23:17:00+02])
