1	010100008000004453E6914D40000020108B4132400000C02D06D85540@2001-01-01 06:13:00+01
2	010100008000002804C5DC4340000004DDF4E9574000003828DE6F5040@2001-11-05 02:52:00+01
3	010100008000004453E6914D40000020108B4132400000C02D06D85540@2001-01-01 06:13:00+01
4	010100008000002804C5DC4340000004DDF4E9574000003828DE6F5040@2001-11-05 02:52:00+01
5	010100008000005034717141400000B0068CD138400000284C15424B40@2001-05-21 12:03:00+02
6	01010000800000AC2D7E884A400000306941C3264000004A88FD925540@2001-06-10 16:03:00+02
7	01010000800000BC726A63524000005CA7FFF8474000007C4D9A835340@2001-05-21 12:03:00+02
8	01010000800000608E62222E400000E007FF9D2B400000E0609F555540@2001-06-10 16:03:00+02
9	01010000800000D07887A328400000505C1BE84D40000044AEDCF74540@2001-07-18 15:10:00+02
10	010100008000005404A91E52400000387402D1414000007069D9784F40@2001-04-26 02:13:00+02
11	0101000080000048FCC7F14A40000054C5E5284940000018D6AFB03F40@2001-12-07 18:05:00+01
12	010100008000005C7FCFFC46400000BE1D0A5C5840000026D5C4905340@2001-07-26 11:29:00+02
13	0101000080000000A6BB430940000074025F9A4C4000002020C7D45440@2001-04-10 04:51:00+02
14	01010000800000E0240692474000003C78C7C35040000038F7C8DD4F40@2001-03-17 07:50:00+01
15	01010000800000E0603A022E4000003092FDE44440000004019CA54D40@2001-04-20 11:02:00+02
16	0101000080000028547DCC4B400000C4C2DA50464000006C3A878D5240@2001-09-05 05:13:00+02
17	01010000800000A0F8B0C7114000000047D625324000004040797C3640@2001-10-08 00:05:00+02
18	01010000800000B897EDE34A400000C8048B5B55400000301002162140@2001-01-28 22:00:00+01
19	01010000800000E4CEFBDF41400000186FD81D44400000809A5288F43F@2001-10-25 11:29:00+02
20	0101000080000094AAECD542400000C21FE6E2534000009CDA96394340@2001-05-29 14:51:00+02
21	01010000800000F8412B6042400000B8354AC63540000002E74B055140@2001-11-02 08:49:00+01
22	01010000800000DC055A3556400000788AC1D03F400000A08C63581240@2001-01-14 23:17:00+01
23	01010000800000B62BAF66524000009872A8F04F400000C0DF69F44040@2001-04-17 07:05:00+02
24	0101000080000070D50C06214000006052E13D204000002A6F9D475840@2001-02-17 03:54:00+01
25	0101000080000030F0C6443A400000E8FCEE9A3340000048BE60785640@2001-10-19 09:06:00+02
26	{01010000800000C00CF4A4024000009C9F513E41400000CC7073E64840@2001-02-06 22:01:00+01, 0101000080000010C7FE8A2C4000006E2FB5FE524000000A2126F55840@2001-02-06 22:04:00+01, 01010000800000882B12334B400000005D09A0E73F0000F080BC664B40@2001-02-06 22:05:00+01, 01010000800000D44FDB0B48400000689D4DE2354000005097C1593B40@2001-02-06 22:11:00+01, 01010000800000B476070E40400000E8B68FF74F40000080B3B2CA0740@2001-02-06 22:15:00+01, 0101000080000038EDE999304000008826712B3E400000B61BACF75640@2001-02-06 22:17:00+01, 01010000800000B036097444400000A03BA90A3B40000030179F5B3D40@2001-02-06 22:22:00+01, 010100008000001076F27B4A400000C0CB0977364000003C2AEA184E40@2001-02-06 22:27:00+01, 010100008000007C85D6794C400000206C76FD234000003ECE2B315440@2001-02-06 22:32:00+01}
27	{01010000800000748AE440534000006C25DA2F44400000020292555440@2001-10-21 09:06:00+02, 01010000800000200887105840000078A8FE6D3D4000008C64ACD94A40@2001-10-21 09:09:00+02, 01010000800000ACD0C7F04F400000D2EDD973554000009A49BFE25540@2001-10-21 09:12:00+02, 010100008000000025BF01F03F0000804E9C9310400000C6C795415840@2001-10-21 09:19:00+02, 01010000800000083148F84C4000003CC634F742400000C89C75E93340@2001-10-21 09:28:00+02, 010100008000006E73F5FE554000003AA2563852400000908B72862340@2001-10-21 09:36:00+02, 01010000800000A0F6DD2D3C4000003094B9AD5040000020AC32164D40@2001-10-21 09:41:00+02, 01010000800000A05F09F84240000004A6FA1246400000603BF5625640@2001-10-21 09:42:00+02}
28	{01010000800000C00CF4A4024000009C9F513E41400000CC7073E64840@2001-02-06 22:01:00+01, 0101000080000010C7FE8A2C4000006E2FB5FE524000000A2126F55840@2001-02-06 22:04:00+01, 01010000800000882B12334B400000005D09A0E73F0000F080BC664B40@2001-02-06 22:05:00+01, 01010000800000D44FDB0B48400000689D4DE2354000005097C1593B40@2001-02-06 22:11:00+01, 01010000800000B476070E40400000E8B68FF74F40000080B3B2CA0740@2001-02-06 22:15:00+01, 0101000080000038EDE999304000008826712B3E400000B61BACF75640@2001-02-06 22:17:00+01, 01010000800000B036097444400000A03BA90A3B40000030179F5B3D40@2001-02-06 22:22:00+01, 010100008000001076F27B4A400000C0CB0977364000003C2AEA184E40@2001-02-06 22:27:00+01, 010100008000007C85D6794C400000206C76FD234000003ECE2B315440@2001-02-06 22:32:00+01}
29	{01010000800000748AE440534000006C25DA2F44400000020292555440@2001-10-21 09:06:00+02, 01010000800000200887105840000078A8FE6D3D4000008C64ACD94A40@2001-10-21 09:09:00+02, 01010000800000ACD0C7F04F400000D2EDD973554000009A49BFE25540@2001-10-21 09:12:00+02, 010100008000000025BF01F03F0000804E9C9310400000C6C795415840@2001-10-21 09:19:00+02, 01010000800000083148F84C4000003CC634F742400000C89C75E93340@2001-10-21 09:28:00+02, 010100008000006E73F5FE554000003AA2563852400000908B72862340@2001-10-21 09:36:00+02, 01010000800000A0F6DD2D3C4000003094B9AD5040000020AC32164D40@2001-10-21 09:41:00+02, 01010000800000A05F09F84240000004A6FA1246400000603BF5625640@2001-10-21 09:42:00+02}
30	{0101000080643BDF4F8D2F58400AD7A3703D0A56404E62105839342C40@2001-05-26 07:32:00+02, 0101000080105839B4C8165740F6285C8FC20D544008AC1C5A64735840@2001-05-26 07:35:00+02, 0101000080C1CAA145B6334540DD24068195FB5640B4C876BE9FBA4B40@2001-05-26 07:43:00+02, 0101000080D578E92631084A4085EB51B81E253B4054E3A59BC4203040@2001-05-26 07:49:00+02, 01010000809A99999999F151400C022B8716B9384066666666669E5440@2001-05-26 07:55:00+02, 0101000080E7FBA9F1D28D49403D0AD7A3708D4D40AE47E17A14565240@2001-05-26 07:57:00+02, 0101000080E9263108AC1C44408195438B6CC73C401B2FDD2406815540@2001-05-26 08:00:00+02}
31	{010100008017D9CEF7532349400AD7A3703DBA49402FDD240681354640@2001-07-24 18:44:00+02, 0101000080A245B6F3FDCC5440333333333363424096438B6CE74B4640@2001-07-24 18:50:00+02, 010100008008AC1C5A649B34402B8716D9CEBF55408716D9CEF73B5240@2001-07-24 18:58:00+02, 010100008021B0726891CD4640C74B378941003940AE47E17A14AE0940@2001-07-24 19:05:00+02, 01010000808716D9CEF7CB5640D7A3703D0ABF524077BE9F1A2F9D5540@2001-07-24 19:11:00+02}
32	{010100008000002860942F58400000E28A3B0A56400000503F4D342C40@2001-05-26 07:32:00+02, 01010000800000709ECD16574000005E9BC10D544000008C295F735840@2001-05-26 07:35:00+02, 01010000800000A4F2B63345400000E2CA90FB5640000038879CBA4B40@2001-05-26 07:43:00+02, 0101000080000090CA2D084A400000A05335253B4000004076B4203040@2001-05-26 07:49:00+02, 01010000800000C6A996F151400000384FFCB838400000E8676B9E5440@2001-05-26 07:55:00+02, 0101000080000068A2D58D49400000185D7B8D4D4000007AE311565240@2001-05-26 07:57:00+02, 010100008000009826B61C44400000583E71C73C400000F4EB06815540@2001-05-26 08:00:00+02}
33	{01010000800000DCAB4F2349400000404439BA49400000482790354640@2001-07-24 18:44:00+02, 01010000800000164004CD5440000028642B63424000006C32E64B4640@2001-07-24 18:50:00+02, 01010000800000B817629B34400000BA92CEBF554000008434F43B5240@2001-07-24 18:58:00+02, 01010000800000D0DA93CD46400000F8672C003940000080D483AE0940@2001-07-24 19:05:00+02, 010100008000002A06F2CB564000006AC80ABF52400000C61E369D5540@2001-07-24 19:11:00+02}
34	{010100008000000290DB5653400000AA220B885840000080A7D1582C40@2001-08-27 23:22:00+02, 010100008000002491EEBA49400000C055FD27154000008005CC744B40@2001-08-27 23:26:00+02, 01010000800000788792FE3940000070F8D2482C4000006082D5B15340@2001-08-27 23:28:00+02, 01010000800000D4A6EA28424000004CFDC40440400000E023015D4B40@2001-08-27 23:30:00+02}
35	{01010000800000C8154ABD304000006C6BF236434000002882811C3C40@2001-02-09 20:30:00+01, 01010000800000DCC9DBF648400000600B0941534000002E6FCFE85340@2001-02-09 20:38:00+01, 01010000800000B00EDEEB2C400000C015FDB057400000D286DB285640@2001-02-09 20:46:00+01, 01010000800000408744354E400000D416B77F50400000A423DAD04940@2001-02-09 20:51:00+01, 01010000800000563B04E858400000C0528BBC084000001E4E3CF85340@2001-02-09 20:58:00+01}
36	{010100008000000290DB5653400000AA220B885840000080A7D1582C40@2001-08-27 23:14:00+02, 010100008000002491EEBA49400000C055FD27154000008005CC744B40@2001-08-27 23:18:00+02, 01010000800000788792FE3940000070F8D2482C4000006082D5B15340@2001-08-27 23:20:00+02, 01010000800000D4A6EA28424000004CFDC40440400000E023015D4B40@2001-08-27 23:22:00+02}
37	{01010000800000C8154ABD304000006C6BF236434000002882811C3C40@2001-02-09 20:02:00+01, 01010000800000DCC9DBF648400000600B0941534000002E6FCFE85340@2001-02-09 20:10:00+01, 01010000800000B00EDEEB2C400000C015FDB057400000D286DB285640@2001-02-09 20:18:00+01, 01010000800000408744354E400000D416B77F50400000A423DAD04940@2001-02-09 20:23:00+01, 01010000800000563B04E858400000C0528BBC084000001E4E3CF85340@2001-02-09 20:30:00+01}
38	{01010000800000C8AEB730394000004016004C2C400000B8CBC5413540@2001-03-08 02:52:00+01, 01010000800000DE40EA2B51400000C0E5B10046400000F04F59E22540@2001-03-08 02:53:00+01}
39	{01010000800000E89DD12E454000005C7635C653400000C0ADCA343540@2001-05-21 22:00:00+02, 01010000800000BAD909C55040000050A55C4A2D400000780281975740@2001-05-21 22:06:00+02, 01010000800000DCBC09194240000040651D4C2440000002F112755140@2001-05-21 22:15:00+02, 0101000080000060605C4516400000386BF0B73D400000E0950AE54740@2001-05-21 22:19:00+02, 010100008000003ACBC08F53400000208A2AA52C40000028D02C2D4740@2001-05-21 22:28:00+02}
40	{01010000800000C8AEB730394000004016004C2C400000B8CBC5413540@2001-03-08 02:52:00+01, 01010000800000DE40EA2B51400000C0E5B10046400000F04F59E22540@2001-03-08 02:53:00+01}
41	{01010000800000E89DD12E454000005C7635C653400000C0ADCA343540@2001-05-21 21:46:00+02, 01010000800000BAD909C55040000050A55C4A2D400000780281975740@2001-05-21 21:52:00+02, 01010000800000DCBC09194240000040651D4C2440000002F112755140@2001-05-21 22:01:00+02, 0101000080000060605C4516400000386BF0B73D400000E0950AE54740@2001-05-21 22:05:00+02, 010100008000003ACBC08F53400000208A2AA52C40000028D02C2D4740@2001-05-21 22:14:00+02}
42	{010100008000004057C9AB1B40000014B947DF4A400000C88D2E275340@2001-09-18 10:01:00+02, 010100008000006ACFFC6F58400000C6B779E35540000030A4ADF02940@2001-09-18 10:08:00+02, 01010000800000B065E1433A400000F406FDAA4B400000A8EC20613640@2001-09-18 10:12:00+02}
43	{010100008000000C33ED0E4F4000004060596623400000B287A9BC5440@2001-11-22 15:03:00+01, 01010000800000C0623BD933400000CCF178634A400000D45785894040@2001-11-22 15:12:00+01}
